animal_type,name,age,color,months_in_shelter,behavior,health,vaccinated,target_audience
dog,Bella,3,black,12,"friendly, energetic",excellent,True,families
cat,Milo,2,white,6,"shy, affectionate",good,True,singles
dog,Max,5,brown,24,"protective, loyal",excellent,False,couples
cat,Luna,1,gray,3,"playful, curious",good,True,families
dog,Rocky,4,black,8,"energetic, obedient",bad,False,active individuals
cat,Oliver,6,brown,12,"calm, independent",excellent,True,elderly
dog,Charlie,2,white,5,"friendly, playful",good,True,families
cat,Simba,3,gray,9,"curious, affectionate",good,False,singles
dog,Cooper,1,brown,2,"energetic, curious",excellent,True,active individuals
cat,Nala,4,black,12,"calm, playful",bad,False,couples
dog,Buddy,7,white,36,"loyal, protective",good,True,elderly
cat,Chloe,5,gray,24,"independent, affectionate",excellent,True,singles
dog,Daisy,3,brown,6,"playful, friendly",good,False,families
cat,Oscar,1,black,4,"curious, shy",good,True,couples
dog,Zeus,6,white,12,"loyal, obedient",bad,False,elderly
cat,Loki,2,brown,7,"affectionate, playful",excellent,True,singles
dog,Rex,4,gray,9,"protective, energetic",good,True,couples
cat,Jasper,3,black,12,"shy, independent",bad,False,elderly
dog,Riley,5,white,24,"friendly, obedient",excellent,True,families
cat,Whiskers,7,gray,36,"calm, affectionate",good,True,elderly
dog,Molly,4,brown,12,"friendly, loyal",good,True,families
cat,Leo,2,white,5,"playful, curious",excellent,True,singles
dog,Rover,3,gray,7,"obedient, energetic",excellent,False,active individuals
cat,Tiger,5,black,12,"shy, independent",good,True,elderly
dog,Buster,6,white,24,"loyal, protective",bad,False,couples
cat,Shadow,1,gray,4,"playful, affectionate",excellent,True,families
dog,Rex,8,black,36,"calm, loyal",good,True,elderly
cat,Sasha,3,brown,6,"curious, independent",good,False,singles
dog,Duke,2,white,8,"energetic, playful",excellent,True,active individuals
cat,Ginger,4,gray,12,"shy, affectionate",bad,True,couples
dog,Zara,5,brown,12,"loyal, protective",excellent,True,families
cat,Coco,2,black,3,"affectionate, playful",good,True,singles
dog,Finn,7,white,24,"calm, obedient",excellent,False,elderly
cat,Dusty,6,gray,48,"independent, calm",bad,True,elderly
dog,Harley,3,brown,6,"friendly, energetic",good,True,families
