animal_type,name,age,color,months_in_shelter,behavior,health,vaccinated,target_audience
dog,Bella,3,black,12,"friendly, energetic",excellent,True,families
dog,Max,5,brown,24,"protective, loyal",excellent,False,couples
cat,Luna,1,gray,3,"playful, curious",good,True,families
dog,Rocky,4,black,8,"energetic, obedient",bad,False,active individuals
cat,Oliver,6,brown,12,"calm, independent",excellent,True,elderly
dog,Charlie,2,white,5,"friendly, playful",good,True,families
cat,Simba,3,gray,9,"curious, affectionate",good,False,singles
dog,Cooper,1,brown,2,"energetic, curious",excellent,True,active individuals
cat,Nala,4,black,12,"calm, playful",bad,False,couples
dog,Buddy,7,white,36,"loyal, protective",good,True,elderly
cat,Chloe,5,gray,24,"independent, affectionate",excellent,True,singles
dog,Daisy,3,brown,6,"playful, friendly",good,False,families
cat,Oscar,1,black,4,"curious, shy",good,True,couples
dog,Zeus,6,white,12,"loyal, obedient",bad,False,elderly
cat,Loki,2,brown,7,"affectionate, playful",excellent,True,singles
dog,Rex,4,gray,9,"protective, energetic",good,True,couples
cat,Jasper,3,black,12,"shy, independent",bad,False,elderly
dog,Riley,5,white,24,"friendly, obedient",excellent,True,families
cat,Whiskers,7,gray,36,"calm, affectionate",good,True,elderly
dog,Molly,4,brown,12,"friendly, loyal",good,True,families
cat,Leo,2,white,5,"playful, curious",excellent,True,singles
dog,Rover,3,gray,7,"obedient, energetic",excellent,False,active individuals
cat,Tiger,5,black,12,"shy, independent",good,True,elderly
dog,Buster,6,white,24,"loyal, protective",bad,False,couples
cat,Shadow,1,gray,4,"playful, affectionate",excellent,True,families
dog,Rex,8,black,36,"calm, loyal",good,True,elderly
cat,Sasha,3,brown,6,"curious, independent",good,False,singles
dog,Duke,2,white,8,"energetic, playful",excellent,True,active individuals
cat,Ginger,4,gray,12,"shy, affectionate",bad,True,couples
dog,Zara,5,brown,12,"loyal, protective",excellent,True,families
cat,Coco,2,black,3,"affectionate, playful",good,True,singles
dog,Finn,7,white,24,"calm, obedient",excellent,False,elderly
cat,Dusty,6,gray,48,"independent, calm",bad,True,elderly
dog,Harley,3,brown,6,"friendly, energetic",good,True,families
cat,Penny,5,white,8,"playful, affectionate",good,False,couples
dog,Oscar,1,black,3,"energetic, curious",excellent,True,active individuals
cat,Misty,4,gray,12,"independent, shy",good,True,singles
dog,Bruno,6,brown,24,"loyal, protective",bad,False,elderly
cat,Snowball,2,white,5,"playful, affectionate",excellent,True,families
cat,Shadow,3,white,22,"loyal, protective, calm",bad,True,singles
dog,Tank,13,black,52,"obedient, protective, playful",bad,True,elderly
dog,Rover,2,black,8,curious,excellent,True,couples
dog,Buster,10,white,55,affectionate,excellent,True,singles
dog,Buster,6,black,12,"curious, friendly, obedient",excellent,True,couples
dog,Nala,1,white,7,independent,bad,True,singles
cat,Simba,7,white,10,"protective, energetic, independent",excellent,True,elderly
dog,Buddy,1,gray,9,"obedient, energetic",good,True,singles
dog,Oscar,6,brown,59,"calm, friendly",good,False,couples
cat,Snowball,8,brown,49,"shy, curious, friendly",good,False,singles
cat,Loki,1,brown,2,protective,excellent,True,elderly
dog,Tank,9,black,17,"playful, curious, protective",good,False,singles
cat,Luna,3,black,19,"loyal, curious",bad,False,couples
dog,Nala,2,gray,7,"curious, independent",bad,True,elderly
cat,Felix,12,gray,52,"protective, curious, independent",good,True,singles
dog,Coco,5,gray,32,energetic,excellent,True,couples
dog,Nala,2,gray,5,shy,good,True,elderly
dog,Nala,3,gray,11,"shy, playful",excellent,True,active individuals
dog,Duke,6,brown,51,obedient,bad,False,families
cat,Dusty,13,white,23,"independent, obedient",good,False,families
dog,Cooper,5,black,6,"independent, calm, friendly",good,True,elderly
cat,Chloe,7,brown,44,affectionate,excellent,True,families
cat,Leo,12,gray,33,"protective, independent",good,False,couples
cat,Mittens,11,black,28,independent,excellent,True,families
cat,Chester,2,gray,7,loyal,excellent,True,elderly
cat,Loki,6,brown,23,"shy, friendly",excellent,True,active individuals
