animal_type,name,age,color,months_in_shelter,behavior,health,vaccinated,target_audience,row_num,description
dog,Bella,3,black,12,"friendly, energetic",excellent,True,families,1,"Meet Bella, a playful and energetic 3-year-old black beauty who's been patiently waiting for her forever home for a year! Bella is a friendly, happy girl who loves to run and play. She's in excellent health, fully vaccinated, and ready to bring joy to your family.  Bella is a loyal companion who loves cuddles on the couch after a long day of adventures. If you're looking for a furry friend to bring laughter and love to your home, Bella is the perfect dog for you!"
dog,Max,5,brown,24,"protective, loyal",excellent,False,couples,2,"Max, a handsome 5-year-old brown dog, is a loyal and protective companion who's been patiently waiting for his forever home for two years. While he may be shy at first, Max quickly warms up to those he trusts, showering them with affection and unwavering devotion. With his excellent health and playful spirit, Max is ready to bring joy and companionship to the right couple. He's eager to learn and loves going for walks and playing fetch. Although he isn't vaccinated, Max is healthy and ready to receive his shots with his new family. Could you be the loving couple Max has been waiting for?"
cat,Luna,1,gray,3,"playful, curious",good,True,families,3,"Luna, a one-year-old gray beauty, is a playful and curious kitty who is ready to bring joy to a loving family.  She has been patiently waiting for her forever home for the past three months and is eager to find someone to cuddle up with and share a sunny spot. Luna has a sweet and gentle personality, is fully vaccinated and in excellent health, and would make a wonderful addition to any home.  Come meet this charming feline and discover the purrfect companion for your family!"
dog,Rocky,4,black,8,"energetic, obedient",bad,False,active individuals,4,"Rocky, a four-year-old, energetic black dog, is looking for an active human to match his zest for life!  While he's been with us for eight months, his playful spirit remains undimmed.  Rocky is incredibly obedient and eager to please, making him a quick learner for any new tricks or commands. Although he's currently facing some health challenges, he's ready to tackle them with the right care and attention from a loving owner.  While he isn't yet vaccinated, we're working on getting him up to date to ensure a long and happy life together.  If you're an active individual seeking a loyal and enthusiastic companion to share adventures with, Rocky could be your perfect match.  Come meet this handsome boy and give him the forever home he deserves!"
cat,Oliver,6,brown,12,"calm, independent",excellent,True,elderly,5,"Meet Oliver, a handsome 6-year-old brown tabby who's been patiently waiting for his forever home. Oliver is a gentle soul with a calm and independent nature, making him a perfect companion for someone who enjoys quiet company. He's already neutered and vaccinated, and his health is excellent. Oliver has been with us for a year, but he's never given up hope for a loving home. He's a purrfect choice for a quiet and peaceful lifestyle, and we know he'll bring you years of companionship and affection."
dog,Charlie,2,white,5,"friendly, playful",good,True,families,6,"Meet Charlie, a charming 2-year-old, all-white sweetheart who's been waiting patiently for his forever family!  This playful pup is bursting with energy and affection, making him the perfect addition to a family looking for a fun-loving companion.  He's spent the last five months with us at the shelter, but his friendly and happy demeanor shines through. Charlie is in excellent health, up-to-date on all his vaccinations, and ready to shower his new humans with endless love and playful cuddles.  Could that loving family be yours?  Come meet Charlie today!"
cat,Simba,3,gray,9,"curious, affectionate",good,False,singles,7,"Simba, a handsome 3-year-old gray tabby, is ready to trade his shelter life for a cozy lap and plenty of cuddles. This curious and affectionate feline has been patiently waiting for his forever home for 9 months and is eager to shower his new owner with purrs and head bumps. Simba is healthy and playful, but he still needs his vaccinations. If you're a single looking for a loyal companion who will keep you entertained and provide endless snuggles, Simba might be the perfect match for you."
dog,Cooper,1,brown,2,"energetic, curious",excellent,True,active individuals,8,"Cooper, a one-year-old, energetic brown dog, is bursting with personality and ready to become your new best friend!  This curious and playful pup has been waiting patiently at the shelter for two months, eager to find an active home to match his boundless energy.  With his excellent health and up-to-date vaccinations, Cooper is the perfect companion for someone who enjoys hiking, running, or simply playing fetch in the park.  He's a loyal and loving dog who's ready to embark on countless adventures with his forever family—are you ready to meet your new running buddy?"
cat,Nala,4,black,12,"calm, playful",bad,False,couples,9,"Nala, a beautiful 4-year-old black cat, is a gentle soul looking for her forever home. Despite her 12 months at the shelter, she's remained a calm and playful companion, always ready for a cuddle or a game of feather wand. While Nala has some health concerns that require a bit of extra attention, she's a loving and devoted cat who will bring endless joy to a couple seeking a furry friend. While she's not currently vaccinated, we are happy to work with you to ensure her health and well-being."
dog,Buddy,7,white,36,"loyal, protective",good,True,elderly,10,"Buddy, a gentle giant with a heart of gold, is a 7-year-old white dog who has been patiently waiting for his forever home for 36 months. This loyal and protective companion is looking for a loving senior to share his days with. He's a picture of health, with all his vaccinations up to date. Buddy loves leisurely walks and enjoys the peace and quiet of a cozy home. With his gentle nature and calm demeanor, Buddy will be a wonderful addition to any senior's life, bringing years of companionship and unconditional love."
